year,Esc,TrueCount?
1985,40435,1
1986,41425,1
1987,41307,1
1988,39699,1
1989,60299,1
1990,59212,1
1991,42728,1
1992,39155,1
1993,36244,1
1994,56449,1
1995,50673,1
1996,74060,1
1997,53821,1
1998,35497,1
1999,37184,1
2000,25870,1
2001,52564,1
2002,42359,1
2003,80594,1
2004,48469,1
2005,67985,1
2006,62630,1
2007,34904,1
2008,33883,1
2009,65278,1
2010,32014,1
2011,46307,1
2012,32656,1
2013,28669,1
2014,63331,1
2015,82674,1
2016,68798,1
2017,68315,1
2018,54474,1
2019,42052,1
