year,Harvest,TrueCount?
1985,104925,1
1986,117657,1
1987,132822,1
1988,105977,1
1989,104217,1
1990,91976,1
1991,81654,1
1992,115064,1
1993,95283,1
1994,116456,1
1995,119119,1
1996,108444,1
1997,107879,1
1998,53522,1
1999,73262,1
2000,26972,1
2001,33099,1
2002,39127,1
2003,69385,1
2004,68778,1
2005,55627,1
2006,56855,1
2007,52995,1
2008,28754,1
2009,22404,1
2010,27727,1
2011,25420,1
2012,15840,1
2013,8508,1
2014,1498,1
2015,4740,1
2016,13904,1
2017,24873,1
2018,21882,1
2019,30568,1
